,Date,Volume,Open,High,Low,Close,MAm,MAn,MAdelta,EMAm,EMAn,MACD,Signal,MACDdelta,Change,Gain,Loss,AveGain,AveLoss,RS,RSI,TradingVolRec,TradingVolActual,Fee,ContractHeld,CashBal,Asset
99,2011-05-31,2690,3335,3356,3308,3335,3370.66,3240.6,-130.05999999999995,3370.66,3315.2948717948716,-55.36512820512826,,,-26.0,0.0,26.0,16.20174224460378,12.704916923881816,1.2752340170087122,56.04847710062297,,0.0,,,,
100,2011-06-01,2155,3305,3329,3285,3305,3367.17,3246.05,-121.11999999999989,3369.359801980198,3314.314407814408,-55.045394165790185,,,-30.0,0.0,30.0,15.39165513237359,13.569671077687724,1.1342688444144906,53.145546653269115,,0.0,,,,
101,2011-06-02,2303,3310,3342,3277,3310,3363.8,3253.4,-110.40000000000009,3368.1843603568277,3313.903511832083,-54.28084852474467,,,5.0,5.0,0.0,14.872072375754911,12.891187523803339,1.1536619375285562,53.567457242265505,,0.0,,,,
102,2011-06-03,2955,3378,3402,3359,3378,3361.25,3263.35,-97.90000000000009,3368.3787294586728,3320.0079392766465,-48.37079018202621,,,68.0,68.0,0.0,17.528468756967165,12.24662814761317,1.4312893757930756,58.86956073775444,,0.0,,,,
103,2011-06-06,1523,3349,3375,3327,3349,3357.89,3276.45,-81.44000000000005,3367.9949922416695,3322.769087916966,-45.225904324703606,,,-29.0,0.0,29.0,16.652045319118805,13.084296740232514,1.2726740802137213,55.99897016883475,,0.0,,,,
104,2011-06-07,2986,3310,3336,3288,3310,3354.98,3285.35,-69.63000000000011,3366.8465765537157,3321.552984305826,-45.29359224788959,,,-39.0,0.0,39.0,15.819443053162866,14.380081903220889,1.1000940856685653,52.38308574724404,,0.0,,,,
105,2011-06-08,2731,3277,3319,3258,3277,3352.02,3290.5,-61.51999999999998,3365.0674364239394,3317.3098429433667,-47.75759348057272,,,-33.0,0.0,33.0,15.028470900504724,15.311077808059844,0.9815423243812167,49.53425986940382,,0.0,,,,
106,2011-06-09,3911,3263,3294,3160,3262,3349.22,3294.85,-54.36999999999989,3363.026497088812,3312.042238853522,-50.98425823528987,,,-15.0,0.0,15.0,14.277047355479487,15.295523917656851,0.9334134242370309,48.278004721384264,,0.0,0.0,0.0,10000000.0,10000000.0
107,2011-06-10,3640,3202,3242,3177,3202,3346.38,3297.3,-49.07999999999993,3359.837853582103,3301.5620256293773,-58.27582795272565,-51.177704146541195,-7.098123806184454,-60.0,0.0,60.0,13.563194987705511,17.53074772177401,0.7736803474080793,43.620055244941774,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
108,2011-06-13,5414,3187,3211,3149,3187,3343.53,3298.1,-45.43000000000029,3356.415321828002,3290.6513565218174,-65.76396530618467,-54.09495637846989,-11.669008927714785,-15.0,0.0,15.0,12.885035238320237,17.40421033568531,0.7403401240159095,42.539967549994934,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
109,2011-06-14,3562,3207,3225,3187,3207,3340.77,3298.55,-42.2199999999998,3353.456602583883,3282.6845606625966,-70.77204192128647,-57.43037348703321,-13.341668434253265,20.0,20.0,0.0,13.240783476404227,16.533999818901044,0.8008215568786848,44.46978957019635,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
110,2011-06-15,3636,3214,3232,3192,3214,3338.21,3297.05,-41.159999999999854,3350.695085701034,3276.1431739328254,-74.55191176820836,-60.85468114326824,-13.697230624940119,7.0,7.0,0.0,12.928744302584017,15.707299827955993,0.8231041900386546,45.14849971472024,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
111,2011-06-16,10890,3178,3214,3142,3178,3335.35,3292.15,-43.19999999999982,3347.2753810336867,3266.796204986842,-80.47917604684471,-64.77958012398354,-15.699595922861178,-36.0,0.0,36.0,12.282307087454814,16.721934836558194,0.734502747887925,42.346588887352105,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
112,2011-06-17,14112,3137,3163,3112,3137,3331.34,3283.15,-48.190000000000055,3343.1115121023267,3254.434661654762,-88.6768504475649,-69.55903418869981,-19.11781625886509,-41.0,0.0,41.0,11.668191733082073,17.935838094730283,0.6505517986645016,39.4142007049326,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
113,2011-06-20,11078,3157,3170,3138,3157,3327.08,3275.85,-51.23000000000002,3339.426135625053,3245.155170068594,-94.27096555645903,-74.50142046225166,-19.769545094207373,20.0,20.0,0.0,12.08478214642797,17.03904618999377,0.7092405297618593,41.49448350962486,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
114,2011-06-21,7859,3163,3179,3152,3163,3322.63,3268.25,-54.38000000000011,3335.932548780993,3237.3308681572994,-98.60168062369348,-79.32147249454002,-19.280208129153465,6.0,6.0,0.0,11.780543039106572,16.187093880494082,0.7277738132662879,42.12205369002904,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
115,2011-06-22,13951,3160,3186,3127,3160,3319.0,3260.5,-58.5,3332.4487359338445,3229.96602357089,-102.48271236295477,-83.95372046822297,-18.528991894731803,-3.0,0.0,3.0,11.191515887151244,15.527739186469379,0.7207434226421932,41.88558347272338,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
116,2011-06-23,12639,3106,3127,3079,3106,3315.42,3248.05,-67.36999999999989,3327.964602549016,3218.1597356117572,-109.8048669372588,-89.12394976203014,-20.680917175228657,-54.0,0.0,54.0,10.63194009279368,17.45135222714591,0.6092330241467189,37.85859567912852,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
117,2011-06-24,16635,3072,3095,3052,3072,3311.01,3233.5,-77.51000000000022,3322.8959965579465,3204.23976079159,-118.65623576635653,-95.03040696289541,-23.62582880346112,-34.0,0.0,34.0,10.100343088153997,18.278784615788616,0.5525719187822614,35.59074540106738,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
118,2011-06-27,15299,3035,3050,2987,3034,3306.14,3217.15,-88.98999999999978,3317.175283754819,3188.02645024001,-129.14883351480876,-101.85409227327808,-27.294741241530673,-38.0,0.0,38.0,9.595325933746297,19.264845384999184,0.4980743806653034,33.24764024361099,-4.0,0.0,0.0,0.0,10000000.0,10000000.0
119,2011-06-28,11427,3016,3033,2994,3016,3300.47,3201.2,-99.26999999999998,3311.211416749773,3171.6429787885804,-139.56843796119256,-109.39696141086098,-30.171476550331576,-18.0,0.0,18.0,9.115559637058983,19.201603115749226,0.4747290933006717,32.190935640806714,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
120,2011-06-29,8610,3053,3064,3036,3053,3293.83,3188.6,-105.23000000000002,3306.0983193883912,3160.343647475382,-145.75467191300913,-116.66850351129061,-29.086168401718524,37.0,37.0,0.0,10.509781655206034,18.241522959961763,0.5761460640251314,36.55410352983281,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
121,2011-06-30,12393,3061,3085,3014,3061,3287.31,3176.15,-111.15999999999985,3301.2448873212943,3150.882347715822,-150.3625396054722,-123.40731073012692,-26.95522887534527,8.0,8.0,0.0,10.384292572445732,17.329446811963674,0.5992281626252929,37.46983555126993,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
